MultiAgentWaterWorld: 2022-02-18 20:14:04,041 [INFO] EvoJAX MultiAgentWaterWorld
MultiAgentWaterWorld: 2022-02-18 20:14:04,041 [INFO] ==============================
MultiAgentWaterWorld: 2022-02-18 20:14:18,123 [INFO] Start to train for 2000 iterations.
MultiAgentWaterWorld: 2022-02-18 20:15:10,233 [INFO] Iter=10, size=16, max=0.6406, avg=0.1367, min=-0.2344, std=0.2768
MultiAgentWaterWorld: 2022-02-18 20:15:15,312 [INFO] Iter=20, size=16, max=0.3906, avg=-0.0615, min=-0.5312, std=0.2686
MultiAgentWaterWorld: 2022-02-18 20:15:20,386 [INFO] Iter=30, size=16, max=0.5000, avg=-0.0332, min=-0.4219, std=0.2488
MultiAgentWaterWorld: 2022-02-18 20:15:25,482 [INFO] Iter=40, size=16, max=0.4062, avg=0.0049, min=-0.3281, std=0.1847
MultiAgentWaterWorld: 2022-02-18 20:15:30,571 [INFO] Iter=50, size=16, max=0.3281, avg=-0.0186, min=-0.5000, std=0.2134
MultiAgentWaterWorld: 2022-02-18 20:15:35,663 [INFO] Iter=60, size=16, max=0.5156, avg=0.0801, min=-0.4062, std=0.2645
MultiAgentWaterWorld: 2022-02-18 20:15:40,742 [INFO] Iter=70, size=16, max=0.6406, avg=0.0986, min=-0.1562, std=0.2170
MultiAgentWaterWorld: 2022-02-18 20:15:45,814 [INFO] Iter=80, size=16, max=0.5469, avg=0.0732, min=-0.2969, std=0.2373
MultiAgentWaterWorld: 2022-02-18 20:15:50,894 [INFO] Iter=90, size=16, max=0.7812, avg=0.0225, min=-0.3438, std=0.2512
MultiAgentWaterWorld: 2022-02-18 20:15:55,964 [INFO] Iter=100, size=16, max=0.4844, avg=0.1416, min=-0.4688, std=0.2383
MultiAgentWaterWorld: 2022-02-18 20:16:41,724 [INFO] [TEST] Iter=100, #tests=100, max=1.4375 avg=-0.0437, min=-1.5000, std=0.5350
MultiAgentWaterWorld: 2022-02-18 20:16:46,899 [INFO] Iter=110, size=16, max=0.5469, avg=0.1494, min=-0.2031, std=0.2012
MultiAgentWaterWorld: 2022-02-18 20:16:51,962 [INFO] Iter=120, size=16, max=0.5469, avg=0.0293, min=-0.4531, std=0.2563
MultiAgentWaterWorld: 2022-02-18 20:16:57,060 [INFO] Iter=130, size=16, max=0.5938, avg=0.0498, min=-0.4219, std=0.2868
MultiAgentWaterWorld: 2022-02-18 20:17:02,133 [INFO] Iter=140, size=16, max=0.3906, avg=0.1006, min=-0.2031, std=0.1899
MultiAgentWaterWorld: 2022-02-18 20:17:07,219 [INFO] Iter=150, size=16, max=0.5156, avg=0.1377, min=-0.2656, std=0.1906
MultiAgentWaterWorld: 2022-02-18 20:17:12,313 [INFO] Iter=160, size=16, max=0.4375, avg=0.1172, min=-0.0938, std=0.1536
MultiAgentWaterWorld: 2022-02-18 20:17:17,407 [INFO] Iter=170, size=16, max=0.5938, avg=0.2080, min=-0.2500, std=0.2432
MultiAgentWaterWorld: 2022-02-18 20:17:22,490 [INFO] Iter=180, size=16, max=0.9531, avg=0.1641, min=-0.3281, std=0.3128
MultiAgentWaterWorld: 2022-02-18 20:17:27,570 [INFO] Iter=190, size=16, max=0.5312, avg=0.2041, min=-0.1406, std=0.1905
MultiAgentWaterWorld: 2022-02-18 20:17:32,659 [INFO] Iter=200, size=16, max=0.7188, avg=0.1689, min=-0.4688, std=0.3068
MultiAgentWaterWorld: 2022-02-18 20:17:33,253 [INFO] [TEST] Iter=200, #tests=100, max=1.0625 avg=-0.0194, min=-1.0625, std=0.4233
MultiAgentWaterWorld: 2022-02-18 20:17:38,335 [INFO] Iter=210, size=16, max=0.5625, avg=0.1006, min=-0.1875, std=0.2208
MultiAgentWaterWorld: 2022-02-18 20:17:43,416 [INFO] Iter=220, size=16, max=0.4688, avg=0.1631, min=-0.2969, std=0.1873
MultiAgentWaterWorld: 2022-02-18 20:17:48,516 [INFO] Iter=230, size=16, max=0.6562, avg=0.2139, min=-0.1250, std=0.2296
MultiAgentWaterWorld: 2022-02-18 20:17:53,615 [INFO] Iter=240, size=16, max=0.5000, avg=0.1768, min=-0.2188, std=0.2079
MultiAgentWaterWorld: 2022-02-18 20:17:58,717 [INFO] Iter=250, size=16, max=0.6719, avg=0.1836, min=-0.2656, std=0.2334
MultiAgentWaterWorld: 2022-02-18 20:18:03,790 [INFO] Iter=260, size=16, max=0.8438, avg=0.3467, min=0.1250, std=0.1780
MultiAgentWaterWorld: 2022-02-18 20:18:08,873 [INFO] Iter=270, size=16, max=0.9062, avg=0.2256, min=-0.3594, std=0.3201
MultiAgentWaterWorld: 2022-02-18 20:18:13,955 [INFO] Iter=280, size=16, max=0.6875, avg=0.2852, min=-0.1875, std=0.2491
MultiAgentWaterWorld: 2022-02-18 20:18:19,038 [INFO] Iter=290, size=16, max=0.6875, avg=0.1543, min=-0.5000, std=0.3046
